CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41238204,LINCOLN TOWERS CAFE,Bronx,234,EAST  149 STREET,10451,7182928146,American,09/18/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,19,B,09/18/2018,05/21/2020,Cycle Inspection / Re-inspection,40.81773378028,-73.924155139519,201,17,006500,2097050,2023350016,BX34
50073325,FRENCHY COFFEE NYC,Manhattan,129,EAST  102 STREET,10029,6468910088,French,01/25/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,4,,,05/21/2020,Pre-permit (Non-operational) / Initial Inspection,40.789879897603,-73.948596090835,111,08,016600,1051882,1016300016,MN33
41574968,PHAYUL RESTAURANT,Queens,3765,74 STREET,11372,7184241869,Asian,01/28/2020,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,32,,,05/21/2020,Cycle Inspection / Initial Inspection,40.747172851789,-73.891483883179,403,25,028900,4029815,4012850004,QN28
41230437,THE CROOKED KNIFE,Manhattan,27-29,EAST 30 STREET,10016,2126962593,American,03/06/2017,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Y,12,,,05/21/2020,Cycle Inspection / Initial Inspection,40.745120632959,-73.984496118648,105,02,007400,1016959,1008600024,MN17
41688479,MADISON'S PIZZERIA,Queens,775,WOODWARD AVENUE,11385,7188318555,Pizza,05/30/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,05/30/2017,05/21/2020,Cycle Inspection / Re-inspection,40.703846781395,-73.903900314618,405,30,058900,4083310,4034810014,QN20
41380885,MAMA TINA'S PIZZA,Manhattan,2649,FRDERICK DOUGLASS BOULEVARD,,2123682820,Pizza,11/15/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,59,,,05/21/2020,Cycle Inspection / Initial Inspection,0,0,,,,,1,
41653059,MAMA'S RESTAURANT JAMAICAN AND AMERICAN FOOD,Manhattan,2347,2 AVENUE,10035,2124104210,Caribbean,01/25/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,01/25/2018,05/21/2020,Cycle Inspection / Re-inspection,40.799729834734,-73.935766267997,111,08,019400,1054587,1017850024,MN34
50087355,CHONG QING HOT POT,Queens,3704,PRINCE ST,11354,9175637171,Chinese,11/21/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,22,,,05/21/2020,Cycle Inspection / Initial Inspection,40.760713815109,-73.832925810194,407,20,087100,4532160,4049720040,QN22
41646525,CEETAY,Bronx,129,ALEXANDER AVENUE,10454,7186187020,Japanese,01/02/2019,No violations were recorded at the time of this inspection.,,,,0,A,01/02/2019,05/21/2020,Cycle Inspection / Re-inspection,40.807223387508,-73.927219549488,201,08,001900,2000687,2023090029,BX39
50069653,ALLEN HOTEL,Manhattan,88,ALLEN STREET,10002,2129658898,Café/Coffee/Tea,10/19/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,10,,,05/21/2020,Pre-permit (Operational) / Initial Inspection,40.71808813156,-73.990938106889,103,01,001800,1090650,1004130041,MN27
41081933,SHILA BAR & WINE,Bronx,629,CRESCENT AVENUE,10458,3472702701,Café/Coffee/Tea,09/30/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,5,,,05/21/2020,Cycle Inspection / Initial Inspection,40.853848990065,-73.887278626573,206,15,039100,2012154,2030740011,BX06
50000040,D & Y RESTAURANT,Brooklyn,5616,7 AVENUE,11220,7184928808,Chinese,12/16/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,9,A,12/16/2019,05/21/2020,Cycle Inspection / Re-inspection,40.63893425853,-74.009569955479,307,38,010200,3015470,3008410044,BK34
50014197,COTENNA,Manhattan,21,BEDFORD STREET,10014,6468610175,Italian,09/14/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,,,05/21/2020,Cycle Inspection / Initial Inspection,40.729116907942,-74.003539488084,102,03,006700,1008398,1005280041,MN23
50088468,HOLE IN THE WALL,Manhattan,626,1 AVENUE,10016,6467558151,Australian,10/09/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,18,B,10/09/2019,05/21/2020,Pre-permit (Operational) / Re-inspection,40.744964710079,-73.972633692414,106,04,008601,1089237,1009670001,MN19
50071214,BEST CARIBBEAN RESTAURANT & GRILL,Queens,9102,ROCKAWAY BEACH BLVD,11693,3477277134,Caribbean,10/23/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,40,,,05/21/2020,Cycle Inspection / Initial Inspection,40.586727195859,-73.81477788889,414,32,094202,4303565,4161250105,QN12
50011013,MORGENSTERN'S FINEST ICE CREAM,Manhattan,215,BOWERY,10002,2122096784,"Ice Cream, Gelato, Yogurt, Ices",01/03/2019,Violations were cited in the following area(s).,22F,,,12,A,01/03/2019,05/21/2020,Cycle Inspection / Initial Inspection,40.721848633195,-73.993434084539,103,01,003601,1005700,1004267501,MN27
41650760,TROPICAL COFFEE SHOP,Brooklyn,584,ROCKAWAY AVENUE,11212,7183469533,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/26/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,24,,,05/21/2020,Cycle Inspection / Initial Inspection,40.665808948484,-73.909758742656,316,41,092400,3326651,3035430043,BK81
41637468,BUDDHA BEER BAR,Manhattan,4476,BROADWAY,10040,6468612595,American,06/07/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,40,,,05/21/2020,Cycle Inspection / Initial Inspection,40.857268600999,-73.93232682396,112,10,028300,1064056,1021700074,MN35
50068816,BROOKLYN PIZZA MARKET,Brooklyn,267,SMITH STREET,11231,9176973215,Pizza,01/09/2020,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,18,,,05/21/2020,Cycle Inspection / Initial Inspection,40.682754841087,-73.993138690233,306,33,007500,3006874,3004220008,BK33
41653607,CHOP'T,Manhattan,18,EAST   23 STREET,10010,6467557837,Salads,08/29/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Y,43,,,05/21/2020,Cycle Inspection / Initial Inspection,40.741053360564,-73.988444975384,105,02,005600,1016300,1008510060,MN13
41684955,DU JOUR BAKERY,Brooklyn,365,5 AVENUE,11215,3472278953,Bakery,06/10/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,13,A,06/10/2017,05/21/2020,Cycle Inspection / Re-inspection,40.671363173162,-73.984459256445,306,39,013700,3021387,3009880006,BK37
50012902,NEW MING LIANG KITCHEN,Bronx,236,EAST GUN HILL ROAD,10467,7185470778,Chinese,10/30/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,62,,,05/21/2020,Cycle Inspection / Initial Inspection,40.880104972011,-73.8764900033,207,11,042300,2018221,2033430212,BX43
41639167,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,1655,PITKIN AVENUE,11212,7183427576,Caribbean,08/30/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,08/30/2017,05/21/2020,Cycle Inspection / Re-inspection,40.669472350543,-73.912161776016,316,41,092400,3080746,3034980064,BK81
50040391,RIVER DOCK BAR & GRILL,Staten Island,1,RICHMOND TER,10301,7182730809,American,11/25/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,25,,,05/21/2020,Cycle Inspection / Initial Inspection,40.64372588042,-74.072788802132,501,49,000300,5799501,5270000501,SI22
50042501,MIMI,Manhattan,185,SULLIVAN STREET,10012,2124181260,French,12/10/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,12,A,12/10/2019,05/21/2020,Cycle Inspection / Re-inspection,40.728370383684,-74.000772112061,102,03,006500,1008248,1005250007,MN23
40383067,RUSSIAN TURKISH BATHS,Manhattan,268,EAST   10 STREET,10009,2125450665,Russian,06/19/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Y,30,,,05/21/2020,Cycle Inspection / Initial Inspection,40.728344489977,-73.983453717052,103,02,003400,1005904,1004370015,MN22